CensusSection;HouseholdIncome2016
2807910002;20182
2807910003;18024
2807910004;22772
2807910005;25097
2807910006;34975
2807910007;24651
2807910008;24250
2807910009;25275
2807910010;30007
2807910011;33739
2807910012;29878
2807910013;37714
2807910014;52399
2807910015;23770
2807910016;33288
2807910017;59794
2807910018;28436
2807910020;22057
2807910021;26053
2807910022;26083
2807910023;25686
2807910024;25814
2807910025;26996
2807910026;29285
2807910027;26639
2807910028;25513
2807910029;26640
2807910030;25068
2807910031;24363
2807910032;24902
2807910033;24327
2807910034;23162
2807910035;26263
2807910036;31051
2807910037;24954
2807910038;29585
2807910039;25218
2807910040;21180
2807910041;24460
2807910042;28301
2807910043;29078
2807910044;34117
2807910046;25599
2807910047;22981
2807910048;21972
2807910049;23159
2807910050;24824
2807910051;27449
2807910052;26713
2807910053;27323
2807910054;37068
2807910055;35570
2807910056;23786
2807910057;24292
2807910058;22968
2807910059;23509
2807910060;36926
2807910061;22328
2807910062;21006
2807910063;22449
2807910065;24727
2807910067;30582
2807910068;30714
2807910069;27032
2807910070;27761
2807910072;35291
2807910073;25323
2807910074;32647
2807910075;28100
2807910076;32513
2807910077;25301
2807910078;29516
2807910081;35497
2807910082;25376
2807910083;24647
2807910084;22864
2807910086;23194
2807910087;48636
2807910088;28878
2807910089;27916
2807910090;39044
2807910091;43102
2807910092;32333
2807910093;27454
2807910094;22147
2807910095;25676
2807910096;22511
2807910098;29021
2807910099;31438
2807910100;29329
2807910101;31720
2807910102;32965
2807910103;23860
2807910104;38185
2807910106;41227
2807910107;41426
2807910108;37415
2807910109;36211
2807910110;24889
2807910111;21397
2807910112;23188
2807910113;23827
2807910114;23206
2807910115;22275
2807910116;35790
2807910117;45065
2807910118;35142
2807910119;45761
2807910120;32389
2807910121;25283
2807910122;36403
2807910123;36919
2807910124;27297
2807910125;29814
2807910126;28426
2807910127;25041
2807910128;31585
2807910129;38672
2807910130;33936
2807910131;33431
2807910132;34580
2807910133;37271
2807910134;31483
2807910135;28041
2807910136;30006
2807910137;24615
2807910138;40863
2807910139;26788
2807910140;32052
2807910142;27070
2807910143;31422
2807910144;21805
2807910145;27709
2807910146;26995
2807910147;24490
2807910148;21847
2807910149;24284
2807910150;25199
2807910151;29384
2807910152;38581
2807910153;36028
2807910154;28687
2807910156;46205
2807910157;45451
2807910158;47029
2807910159;46838
2807910161;27370
2807910162;23246
2807910163;27291
2807910164;22386
2807910165;34851
2807910167;37683
2807910168;25501
2807910169;24646
2807910170;31325
2807910171;29557
2807910172;30329
2807910173;33399
2807910174;30803
2807910175;30605
2807910176;30252
2807910178;31472
2807910179;24223
2807910180;29966
2807910181;25702
2807910182;22591
2807910183;28770
2807910184;29838
2807910185;29079
2807910187;27642
2807910188;27877
2807910189;28036
2807910190;26633
2807910191;28170
2807910192;33566
2807910193;26122
2807910194;32361
2807910196;31356
2807910197;34798
2807910198;31900
2807910199;30269
2807910201;33199
2807910202;33401
2807910203;30308
2807910204;26951
2807910205;47945
2807910206;43827
2807910207;42683
2807910209;33586
2807910210;29521
2807910211;34555
2807910212;47265
2807910213;44447
2807910214;37001
2807910215;43673
2807910216;40717
2807910217;32727
2807910218;47516
2807910219;37953
2807910220;30498
2807911001;28302
2807911002;31194
2807911003;34223
2807911004;33897
2807911005;30507
2807911006;29583
2807911007;23904
2807911010;32659
2807911011;28655
2807911012;25091
2807911013;25966
2807911015;25083
2807911016;23697
2807911017;21217
2807911018;25813
2807911019;29742
2807911021;25453
2807911022;31838
2807911023;23753
2807911024;24438
2807911025;29782
2807911026;28289
2807911028;37133
2807911029;25405
2807911030;26539
2807911031;33203
2807911032;25273
2807911033;25107
2807911034;24415
2807911035;26543
2807911036;25734
2807911037;25067
2807911038;24805
2807911039;28820
2807911040;20209
2807911041;22600
2807911042;24566
2807911043;28684
2807911044;40564
2807911045;34617
2807911046;27463
2807911047;25004
2807911048;24079
2807911049;33036
2807911050;31727
2807911051;32630
2807911054;22635
2807911055;22634
2807911056;22436
2807911057;24218
2807911058;26258
2807911059;24220
2807911060;28510
2807911061;23915
2807911062;21901
2807911063;26117
2807911065;34194
2807911066;21712
2807911067;32553
2807911068;26110
2807911069;25896
2807911070;25098
2807911071;22555
2807911072;22559
2807911073;23581
2807911074;23142
2807911075;30308
2807911078;25762
2807911079;25128
2807911080;22928
2807911081;24067
2807911082;25241
2807911083;22364
2807911084;25473
2807911085;25376
2807911086;24870
2807911087;24109
2807911088;24025
2807911089;24276
2807911091;23489
2807911092;26683
2807911093;35973
2807911094;50223
2807911095;43159
2807911096;37270
2807911097;34250
2807911098;32753
2807911099;33579
2807911100;28721
2807911101;29199
2807911102;25624
2807911103;26007
2807911104;27898
2807911105;24884
2807911106;28649
2807911107;30251
2807911108;25522
2807911109;24089
2807911110;25016
2807911111;24968
2807911112;28238
2807911113;26930
2807911114;28043
2807911115;26216
2807911116;23088
2807911117;21581
2807911118;23905
2807911119;22208
2807911120;24074
2807911121;21385
2807911122;22194
2807911123;30090
2807911124;28823
2807911125;30586
